10
testcase10 305
196 107
5 C 25
5 B 30
6 F 3
6 E 7
6 D 12
6 C 17
6 B 22
7 A 15
7 B 18
7 C 27
7 D 34
7 E 39
7 F 43
7 G 48
8 A 25
8 B 32
8 C 39
8 D 45
8 E 55
8 F 59
8 G 64
9 A 28
9 B 38
9 C 46
9 D 51
9 E 56
9 F 63
9 G 68
F G 0 22 G
G H 0 22 H
E F 1 22 F
F G 1 23 G
A B 10 22 B
B C 10 26 C
C D 10 24 D
E F 10 29 F
F G 10 30 G
G H 10 34 H
A B 11 25 B
B C 11 24 C
D E 11 27 E
E F 11 27 F
F G 11 -1 -1
G H 11 29 H
A B 12 26 B
B C 12 25 C
C D 12 25 D
E F 12 28 F
F G 12 28 G
G H 12 31 H
A B 13 24 B
B C 13 22 C
D E 13 24 E
F G 13 32 G
G H 13 27 H
A B 14 23 B
B C 14 23 C
C D 14 26 D
F G 14 27 G
G H 14 32 H
A B 15 28 B
B C 15 32 C
C D 15 30 D
D E 15 32 E
E F 15 31 F
F G 15 -1 -1
G H 15 -1 -1
A B 16 29 B
B C 16 28 C
C D 16 27 D
D E 16 30 E
E F 16 -1 -1
F G 16 -1 -1
G H 16 -1 -1
A B 17 27 B
B C 17 30 C
C D 17 29 D
D E 17 28 E
E F 17 -1 -1
F G 17 -1 -1
G H 17 -1 -1
A B 18 -1 -1
A B 19 30 B
B C 19 29 C
C D 19 32 D
D E 19 31 E
E F 19 -1 -1
F G 19 -1 -1
G H 19 -1 -1
F G 2 24 G
G H 2 24 H
A B 20 32 B
B C 20 27 C
C D 20 28 D
E F 20 -1 -1
F G 20 -1 -1
G H 20 -1 -1
A B 21 -1 -1
E D 22 14 D
D C 22 11 C
H G 23 1 G
E D 23 12 D
F E 24 13 E
H G 25 7 G
F E 25 14 E
E D 26 10 D
E D 29 20 D
E F 3 23 F
F G 3 26 G
G H 3 26 H
D C 31 -1 -1
E D 4 2 D
D C 4 13 C
C B 4 7 B
F E 5 2 E
E D 5 7 D
D C 5 8 C
C B 5 9 B
F E 6 0 E
E D 6 8 D
D C 6 7 C
C B 6 8 B
B A 6 9 A
A B 7 4 B
E F 7 26 F
F G 7 25 G
A B 8 5 B
E F 8 32 F
F G 8 31 G
G H 8 28 H
C D 9 23 D
D E 9 25 E
E F 9 30 F
F G 9 29 G
G H 9 30 H
2297
testcase11 400
255 143
0 C 11
0 D 15
0 E 19
0 F 22
0 G 27
1 G 2
10 A 20
10 B 23
10 C 31
10 D 35
10 E 41
10 F 44
10 G 51
11 A 36
11 B 39
11 C 45
11 D 48
11 E 52
11 F 55
11 G 60
12 A 32
12 B 38
12 C 50
12 D 54
12 E 58
12 F 61
12 G 67
13 A 44
13 B 49
13 C 54
13 D 57
13 E 62
13 F 65
13 G 70
14 A 58
14 B 62
14 C 68
14 D 72
14 E 76
14 F 79
14 G 84
15 A 32
15 B 36
15 C 44
15 D 52
15 E 58
15 F 68
15 G 74
16 A 67
16 B 74
16 C 80
16 D 83
16 E 87
16 F 90
16 G 97
17 A 58
17 B 61
17 C 66
17 D 70
17 E 74
17 F 77
17 G 82
18 A 66
18 B 73
18 C 80
18 D 85
18 E 93
18 F 97
18 G 102
19 A 64
19 B 67
19 C 72
19 D 75
19 E 80
19 F 83
19 G 88
2 C 2
2 D 5
2 E 9
2 F 12
2 G 17
20 A 100
20 B 108
20 C 114
20 D 117
21 A 85
21 B 93
21 C 104
21 D 107
21 E 111
21 F 114
22 A 101
22 B 104
22 C 110
22 D 113
22 E 117
23 A 103
23 B 109
23 C 116
24 H 24
24 G 40
24 F 45
24 E 49
24 D 55
24 C 59
24 B 64
25 H 33
25 G 36
25 F 42
25 E 46
25 D 51
25 C 54
25 B 59
26 H 3
26 G 6
26 F 12
26 E 15
26 D 19
26 C 22
26 B 27
27 H 28
27 G 34
27 F 40
27 E 43
27 D 48
27 C 52
27 B 57
28 H 50
28 G 53
28 F 60
28 E 65
28 D 70
28 C 75
28 B 80
29 H 28
29 G 32
29 F 37
29 E 40
29 D 44
29 C 47
29 B 52
3 B 2
3 C 18
3 D 23
3 E 30
3 F 34
3 G 39
30 H 56
30 G 65
30 F 70
30 E 73
30 D 77
30 C 80
30 B 85
31 H 47
31 G 52
31 F 59
31 E 62
31 D 66
31 C 69
31 B 75
32 H 32
32 G 36
32 F 57
32 E 60
32 D 64
32 C 68
32 B 73
33 H 68
33 G 72
33 F 77
33 E 80
33 D 85
33 C 89
33 B 94
34 H 60
34 G 67
34 F 79
34 E 82
34 D 88
34 C 91
34 B 96
35 H 64
35 G 68
35 F 73
35 E 76
35 D 81
35 C 84
35 B 89
36 H 71
36 G 75
36 F 81
36 E 84
36 D 89
36 C 92
36 B 97
37 H 90
37 G 101
37 F 112
37 E 115
37 D 119
38 H 85
38 G 91
38 F 102
38 E 106
38 D 111
38 C 115
39 H 89
39 G 96
39 F 103
39 E 106
39 D 110
39 C 113
39 B 118
4 D 2
4 C 5
4 B 10
40 H 86
40 G 90
40 F 95
40 E 98
40 D 102
40 C 105
40 B 110
41 H 103
41 G 107
41 F 112
41 E 116
42 H 110
42 G 114
42 F 119
43 H 109
43 G 114
5 E 11
5 D 15
5 C 18
5 B 24
6 B 3
7 D 15
7 C 18
7 B 23
8 H 16
8 G 19
8 F 24
8 E 28
8 D 33
8 C 37
8 B 42
9 A 29
9 B 32
9 C 39
9 D 43
9 E 48
9 F 54
9 G 60
E F 0 8 F
F G 0 29 G
G H 1 8 H
D E 10 29 E
A B 11 8 B
B C 11 29 C
C D 11 27 D
E F 11 32 F
C D 12 24 D
D E 12 32 E
E F 12 30 F
B C 13 25 C
D E 13 31 E
B C 14 28 C
D E 14 35 E
A B 16 32 B
A B 17 24 B
C D 17 28 D
C D 18 33 D
D E 19 34 E
C D 2 7 D
D E 2 26 E
E F 2 26 F
H G 24 0 G
G F 24 12 F
F E 24 15 E
C B 24 19 B
H G 25 19 G
G F 25 9 F
F E 25 9 E
E D 25 15 D
D C 25 13 C
B A 25 18 A
H G 26 2 G
G F 26 2 F
D C 26 10 C
C B 26 12 B
B A 26 13 A
H G 27 3 G
G F 27 10 F
E D 27 11 D
C B 27 17 B
B A 27 19 A
H G 28 12 G
G F 28 15 F
F E 28 17 E
E D 28 17 D
B A 28 22 A
H G 29 9 G
F E 29 10 E
B A 29 14 A
B C 3 5 C
D E 3 8 E
E F 3 27 F
H G 30 13 G
G F 30 14 F
E D 30 16 D
D C 30 16 C
C B 30 21 B
B A 30 20 A
H G 31 11 G
G F 31 13 F
F E 31 13 E
D C 31 19 C
C B 31 16 B
B A 31 21 A
H G 32 10 G
G F 32 11 F
D C 32 14 C
C B 32 18 B
H G 33 17 G
G F 33 16 F
F E 33 19 E
E D 33 18 D
C B 33 22 B
B A 33 -1 -1
H G 34 15 G
G F 34 17 F
F E 34 16 E
D C 34 21 C
C B 34 -1 -1
B A 34 -1 -1
H G 35 16 G
G F 35 19 F
F E 35 14 E
D C 35 22 C
C B 35 20 B
B A 35 23 A
H G 36 14 G
G F 36 18 F
F E 36 18 E
E D 36 21 D
D C 36 20 C
C B 36 23 B
B A 36 -1 -1
H G 37 -1 -1
G F 37 -1 -1
F E 37 -1 -1
E D 37 -1 -1
D C 37 -1 -1
H G 38 18 G
G F 38 21 F
F E 38 -1 -1
E D 38 -1 -1
D C 38 -1 -1
C B 38 -1 -1
H G 39 -1 -1
G F 39 -1 -1
F E 39 22 E
E D 39 20 D
D C 39 -1 -1
C B 39 -1 -1
B A 39 -1 -1
D C 4 0 C
C B 4 10 B
B A 4 9 A
H G 40 -1 -1
G F 40 -1 -1
F E 40 21 E
E D 40 22 D
D C 40 23 C
C B 40 -1 -1
B A 40 -1 -1
H G 41 -1 -1
G F 41 -1 -1
F E 41 -1 -1
E D 41 -1 -1
H G 42 -1 -1
G F 42 -1 -1
F E 42 -1 -1
H G 43 -1 -1
G F 43 -1 -1
E D 5 0 D
D C 5 3 C
B A 5 12 A
B A 6 10 A
C B 7 15 B
B A 7 15 A
G F 8 3 F
D C 8 15 C
B C 9 8 C
C D 9 29 D
D E 9 24 E
1595
testcase12 359
232 125
0 F 4
0 G 9
1 C 4
1 D 14
1 E 22
1 F 26
1 G 33
10 E 8
10 D 15
10 C 19
10 B 25
11 D 1
11 C 4
11 B 10
12 E 4
12 D 14
12 C 21
12 B 29
13 D 2
13 C 6
13 B 11
14 D 6
14 C 16
14 B 21
15 G 1
15 F 7
15 E 11
15 D 16
15 C 19
15 B 24
16 G 11
16 F 18
16 E 27
16 D 35
16 C 39
16 B 44
17 A 16
17 B 32
17 C 38
17 D 42
17 E 47
17 F 52
17 G 57
18 A 52
18 B 67
18 C 81
18 D 84
18 E 91
18 F 95
19 A 56
19 B 64
19 C 70
19 D 76
19 E 82
19 F 86
19 G 91
2 G 4
20 A 27
20 B 32
20 C 37
20 D 40
20 E 45
20 F 49
20 G 54
21 A 33
21 B 40
21 C 45
21 D 48
21 E 53
21 F 57
21 G 62
22 A 49
22 B 62
22 C 67
22 D 70
22 E 76
22 F 80
22 G 85
23 A 70
23 B 75
23 C 80
23 D 83
23 E 90
23 F 95
24 A 81
24 B 87
24 C 94
25 A 58
25 B 63
25 C 70
25 D 74
25 E 79
25 F 83
25 G 88
26 A 55
26 B 60
26 C 65
26 D 69
26 E 75
26 F 79
26 G 84
27 A 69
27 B 79
27 C 91
28 A 77
28 B 84
28 C 89
28 D 93
29 A 90
3 F 7
3 G 13
30 A 95
31 A 87
32 H 10
32 G 18
32 F 25
32 E 30
32 D 35
32 C 38
32 B 43
33 H 9
33 G 14
33 F 19
33 E 23
33 D 28
33 C 31
33 B 36
34 H 34
34 G 39
34 F 45
34 E 49
34 D 55
34 C 58
34 B 63
35 H 8
35 G 16
35 F 25
35 E 31
35 D 38
35 C 42
35 B 47
36 H 4
36 G 9
36 F 15
36 E 20
36 D 25
36 C 28
36 B 33
37 H 49
37 G 54
37 F 59
37 E 63
37 D 68
37 C 71
37 B 76
38 H 39
38 G 46
38 F 51
38 E 55
38 D 60
38 C 63
38 B 68
39 H 52
39 G 67
39 F 75
39 E 80
39 D 85
39 C 88
39 B 93
4 E 1
4 F 6
4 G 11
40 H 45
40 G 51
40 F 57
40 E 61
40 D 66
40 C 69
40 B 74
41 H 68
41 G 77
41 F 83
41 E 87
41 D 92
41 C 95
42 H 37
42 G 44
42 F 52
42 E 59
42 D 64
42 C 67
42 B 72
43 H 65
43 G 81
43 F 89
43 E 93
44 H 91
45 H 56
45 G 63
45 F 68
45 E 72
45 D 77
45 C 80
45 B 85
47 H 90
48 H 76
48 G 82
48 F 87
48 E 91
49 H 85
49 G 91
5 G 3
6 A 0
6 B 9
6 C 21
6 D 27
6 E 33
6 F 37
6 G 46
7 B 17
7 C 24
7 D 28
7 E 34
7 F 40
7 G 46
8 B 16
8 C 21
8 D 24
8 E 29
8 F 36
8 G 43
9 B 4
F G 0 36 G
G H 1 38 H
E D 10 8 D
D C 10 -1 -1
C B 10 20 B
B A 10 22 A
D C 11 1 C
C B 11 6 B
E D 12 1 D
D C 12 7 C
B A 12 18 A
D C 13 8 C
C B 13 7 B
B A 13 20 A
D C 14 6 C
C B 14 17 B
B A 14 21 A
G F 15 3 F
E D 15 6 D
D C 15 20 C
C B 15 21 B
B A 15 23 A
F E 16 1 E
E D 16 17 D
D C 16 22 C
C B 16 22 B
B A 16 27 A
E F 17 38 F
G H 17 43 H
G H 2 33 H
G H 22 47 H
G F 32 6 F
F E 32 7 E
E D 32 22 D
D C 32 26 C
C B 32 18 B
B A 32 25 A
G F 33 1 F
F E 33 6 E
E D 33 20 D
D C 33 21 C
C B 33 25 B
B A 33 19 A
G F 34 20 F
F E 34 21 E
E D 34 26 D
D C 34 19 C
C B 34 23 B
B A 34 24 A
H G 35 3 G
G F 35 8 F
F E 35 20 E
E D 35 21 D
D C 35 25 C
C B 35 19 B
B A 35 28 A
H G 36 0 G
F E 36 8 E
E D 36 7 D
D C 36 17 C
C B 36 26 B
B A 36 26 A
G F 37 26 F
F E 37 26 E
E D 37 23 D
D C 37 24 C
C B 37 -1 -1
B A 37 30 A
E D 38 18 D
D C 38 28 C
C B 38 27 B
B A 38 31 A
G F 39 25 F
F E 39 23 E
E D 39 -1 -1
D C 39 -1 -1
C B 39 -1 -1
B A 39 -1 -1
E F 4 15 F
F G 4 16 G
G H 4 34 H
H G 40 20 G
G F 40 21 F
F E 40 25 E
E D 40 19 D
D C 40 18 C
C B 40 28 B
B A 40 29 A
H G 41 26 G
G F 41 19 F
F E 41 -1 -1
E D 41 -1 -1
D C 41 -1 -1
C B 41 -1 -1
H G 42 6 G
G F 42 17 F
F E 42 22 E
E D 42 25 D
D C 42 23 C
C B 42 24 B
B A 42 -1 -1
G F 43 23 F
F E 43 -1 -1
E D 43 -1 -1
H G 44 -1 -1
H G 45 21 G
G F 45 22 F
F E 45 19 E
E D 45 28 D
D C 45 27 C
C B 45 -1 -1
B A 45 -1 -1
H G 48 25 G
G F 48 18 F
F E 48 18 E
E D 48 -1 -1
H G 49 19 G
G F 49 -1 -1
G H 5 32 H
A B 6 11 B
F G 7 38 G
G H 7 39 H
B C 8 12 C
G H 8 37 H
B A 9 17 A
1849
testcase13 400
258 140
0 E 0
0 F 5
0 G 9
1 E 7
1 F 16
1 G 22
10 H 11
10 G 21
10 F 25
10 E 30
10 D 37
10 C 42
10 B 48
11 A 33
11 B 38
11 C 43
11 D 49
11 E 55
11 F 60
11 G 65
12 A 7
12 B 13
12 C 18
12 D 21
12 E 26
12 F 31
12 G 35
13 A 12
13 B 25
13 C 35
13 D 38
13 E 43
13 F 48
13 G 52
14 A 14
14 B 19
14 C 24
14 D 27
14 E 32
14 F 37
14 G 41
15 A 40
15 B 45
15 C 51
15 D 54
15 E 59
15 F 64
15 G 69
16 A 9
16 B 19
16 C 24
16 D 27
16 E 32
16 F 38
16 G 42
17 A 45
17 B 51
17 C 56
17 D 59
17 E 64
17 F 69
17 G 73
18 A 48
18 B 53
18 C 58
18 D 61
18 E 66
18 F 71
18 G 75
19 A 51
19 B 61
19 C 66
19 D 69
19 E 78
19 F 85
19 G 89
2 G 1
20 A 63
20 B 68
20 C 73
20 D 77
20 E 82
20 F 88
20 G 92
21 A 48
21 B 54
21 C 59
21 D 62
21 E 67
21 F 72
21 G 76
22 A 67
22 B 78
22 C 86
22 D 89
23 A 74
23 B 82
23 C 87
23 D 90
24 A 60
24 B 75
24 C 84
24 D 87
24 E 92
25 A 68
25 B 75
25 C 81
25 D 84
25 E 89
25 F 94
26 A 95
27 A 78
27 B 91
28 H 24
28 G 28
28 F 34
28 E 40
28 D 45
28 C 48
28 B 53
29 H 19
29 G 50
29 F 54
29 E 59
29 D 64
29 C 67
29 B 72
3 E 4
3 F 11
3 G 15
30 H 17
30 G 20
30 F 24
30 E 31
30 D 36
30 C 39
30 B 44
31 H 9
31 G 12
31 F 16
31 E 21
31 D 26
31 C 29
31 B 34
32 H 30
32 G 34
32 F 39
32 E 47
32 D 52
32 C 55
32 B 61
33 H 52
33 G 55
33 F 59
33 E 64
33 D 69
33 C 72
33 B 77
34 H 51
34 G 57
34 F 63
34 E 68
34 D 73
34 C 76
34 B 81
35 H 50
35 G 54
35 F 59
35 E 64
35 D 70
35 C 73
35 B 78
36 H 33
36 G 39
36 F 46
36 E 54
36 D 63
36 C 66
36 B 72
37 H 43
37 G 46
37 F 50
37 E 57
37 D 64
37 C 70
37 B 75
38 H 65
38 G 69
38 F 73
38 E 81
38 D 86
38 C 89
38 B 94
39 H 75
39 G 78
39 F 87
4 D 2
4 E 9
4 F 14
4 G 19
40 H 67
40 G 70
40 F 74
40 E 79
40 D 84
40 C 87
40 B 92
41 H 54
41 G 60
41 F 64
41 E 69
41 D 74
41 C 77
41 B 82
42 H 75
42 G 78
42 F 82
42 E 87
42 D 93
43 H 71
43 G 75
43 F 79
43 E 84
43 D 89
43 C 92
44 H 83
44 G 87
44 F 92
45 H 76
45 G 82
45 F 86
45 E 91
46 H 90
49 H 83
49 G 86
49 F 90
49 E 95
5 A 22
5 B 28
5 C 35
5 D 38
5 E 43
5 F 49
5 G 53
6 D 2
6 C 5
6 B 11
7 D 0
7 C 3
7 B 8
8 E 12
8 D 17
8 C 20
8 B 25
9 E 5
9 D 17
9 C 20
9 B 25
E F 0 31 F
F G 0 31 G
G H 0 30 H
E F 1 30 F
F G 1 10 G
H G 10 3 G
E D 10 5 D
D C 10 15 C
C B 10 17 B
A B 11 30 B
B C 11 32 C
D E 11 29 E
E F 11 34 F
A B 12 9 B
E F 12 32 F
F G 12 36 G
A B 13 31 B
E F 13 29 F
F G 13 35 G
B C 14 31 C
D E 14 28 E
E F 14 36 F
F G 14 37 G
A B 15 10 B
E F 15 41 F
F G 15 38 G
A B 16 8 B
E F 16 37 F
G H 16 34 H
A B 17 28 B
D E 17 35 E
A B 18 29 B
E F 18 40 F
F G 18 43 G
A B 19 36 B
B C 19 33 C
G H 2 31 H
A B 20 33 B
B C 20 34 C
E F 20 39 F
A B 21 32 B
B C 21 36 C
C D 21 37 D
E F 21 43 F
A B 22 35 B
A B 23 41 B
A B 24 37 B
A B 25 34 B
A B 26 -1 -1
A B 27 40 B
B C 27 -1 -1
D C 28 17 C
C B 28 18 B
H G 29 1 G
G F 29 11 F
D C 29 20 C
C B 29 25 B
E F 3 28 F
F G 3 30 G
E D 30 13 D
D C 30 11 C
C B 30 15 B
E D 31 16 D
D C 31 5 C
H G 32 12 G
G F 32 16 F
E D 32 15 D
D C 32 18 C
H G 33 11 G
F E 33 17 E
E D 33 19 D
D C 33 25 C
G F 34 17 F
E D 34 20 D
D C 34 22 C
H G 35 5 G
D C 35 24 C
C B 35 22 B
H G 36 14 G
E D 36 18 D
D C 36 19 C
H G 37 13 G
E D 37 21 D
C B 37 24 B
H G 38 18 G
F E 38 19 E
E D 38 22 D
D C 38 -1 -1
C B 38 -1 -1
B A 38 -1 -1
H G 39 -1 -1
G F 39 20 F
D E 4 8 E
E F 4 10 F
F G 4 28 G
G H 4 28 H
H G 40 17 G
G F 40 19 F
E D 40 24 D
D C 40 -1 -1
C B 40 -1 -1
H G 41 15 G
G F 41 21 F
E D 41 25 D
D C 41 23 C
C B 41 23 B
H G 42 20 G
G F 42 25 F
F E 42 25 E
E D 42 -1 -1
D C 42 -1 -1
H G 43 21 G
E D 43 23 D
D C 43 -1 -1
C B 43 -1 -1
H G 44 -1 -1
G F 44 -1 -1
F E 44 -1 -1
H G 45 19 G
G F 45 -1 -1
F E 45 24 E
E D 45 -1 -1
H G 46 -1 -1
H G 49 -1 -1
G F 49 -1 -1
F E 49 -1 -1
E D 49 -1 -1
E F 5 35 F
F G 5 33 G
D C 6 16 C
C B 6 16 B
B A 6 5 A
D C 7 12 C
C B 7 12 B
B A 7 14 A
D C 8 14 C
C B 8 13 B
E D 9 12 D
D C 9 13 C
C B 9 5 B
878
testcase14 355
233 120
0 B 2
0 C 7
0 D 10
1 C 2
1 B 7
10 A 15
10 B 19
10 C 24
10 D 27
11 A 28
11 B 32
11 C 37
11 D 40
12 A 45
12 B 50
12 C 56
12 D 61
13 A 32
13 B 41
13 C 48
13 D 52
14 A 28
14 B 34
14 C 39
14 D 44
15 A 49
15 B 55
15 C 61
15 D 65
16 A 38
16 B 42
16 C 47
16 D 50
17 A 56
17 B 60
17 C 65
17 D 68
18 A 58
18 B 65
18 C 70
18 D 73
19 A 60
19 B 67
19 C 72
19 D 75
2 D 0
2 C 4
2 B 9
20 A 54
20 B 58
20 C 63
20 D 66
21 A 65
21 B 69
21 C 74
21 D 77
22 A 56
22 B 61
22 C 66
22 D 70
23 A 53
23 B 57
23 C 62
23 D 65
24 A 83
24 B 91
24 C 96
24 D 100
25 A 76
25 B 81
25 C 87
25 D 91
26 A 84
26 B 88
26 C 93
26 D 96
27 A 95
27 B 99
27 C 104
27 D 107
28 A 79
28 B 83
28 C 88
28 D 91
29 A 102
29 B 106
29 C 112
29 D 115
3 B 5
30 A 100
30 B 104
30 C 110
30 D 113
31 A 101
31 B 105
31 C 111
31 D 114
32 A 114
32 B 118
33 A 113
33 B 117
34 E 20
34 D 26
34 C 29
34 B 34
35 E 16
35 D 25
35 C 28
35 B 33
36 E 10
36 D 15
36 C 19
36 B 24
37 E 14
37 D 23
37 C 28
37 B 33
38 E 5
38 D 11
38 C 14
38 B 20
39 E 18
39 D 26
39 C 29
39 B 34
4 A 12
4 B 18
4 C 24
4 D 29
40 E 13
40 D 20
40 C 25
40 B 30
41 E 50
41 D 56
41 C 59
41 B 66
42 E 28
42 D 34
42 C 40
42 B 47
43 E 34
43 D 39
43 C 42
43 B 49
44 E 35
44 D 41
44 C 44
44 B 49
45 E 45
45 D 50
45 C 53
45 B 58
46 E 71
46 D 77
46 C 80
46 B 85
47 E 55
47 D 60
47 C 63
47 B 68
48 E 59
48 D 65
48 C 69
48 B 74
49 E 63
49 D 69
49 C 72
49 B 77
5 A 20
5 B 24
5 C 29
5 D 32
50 E 53
50 D 58
50 C 62
50 B 67
51 E 52
51 D 57
51 C 60
51 B 65
52 E 82
52 D 87
52 C 90
52 B 95
53 E 81
53 D 88
53 C 91
53 B 97
54 E 85
54 D 90
54 C 93
54 B 98
55 E 92
55 D 97
55 C 100
55 B 105
56 E 78
56 D 83
56 C 86
56 B 91
57 E 95
57 D 100
57 C 103
57 B 109
58 E 83
58 D 89
58 C 92
58 B 97
59 E 107
59 D 113
59 C 117
6 A 12
6 B 16
6 C 21
6 D 24
60 E 112
60 D 117
61 E 108
61 D 114
61 C 118
7 A 3
7 B 8
7 C 14
7 D 17
8 A 5
8 B 13
8 C 18
8 D 21
9 A 21
9 B 26
9 C 32
9 D 35
B C 0 38 C
C B 1 7 B
A B 10 38 B
B C 10 37 C
A B 11 35 B
B C 11 43 C
C D 11 44 D
A B 12 44 B
C D 12 47 D
A B 13 42 B
A B 14 39 B
B C 14 42 C
A B 15 45 B
B C 15 51 C
B C 16 45 C
C D 16 45 D
D E 16 47 E
A B 17 41 B
B C 17 48 C
A B 18 50 B
C D 18 46 D
D E 18 56 E
A B 19 48 B
B C 19 46 C
C D 19 56 D
D E 19 53 E
D C 2 0 C
C B 2 8 B
A B 20 47 B
B C 20 47 C
D E 20 46 E
A B 21 49 B
B C 21 56 C
C D 21 52 D
D E 21 52 E
A B 22 51 B
B C 22 49 C
C D 22 49 D
B C 23 50 C
C D 23 48 D
A B 24 52 B
B C 24 57 C
A B 25 46 B
B C 25 53 C
C D 25 54 D
A B 26 58 B
B C 26 54 C
D E 26 59 E
A B 27 55 B
A B 28 56 B
B C 28 52 C
C D 28 55 D
B C 29 59 C
C D 29 60 D
D E 29 -1 -1
B A 3 4 A
A B 30 57 B
B C 30 61 C
C D 30 59 D
C D 31 61 D
D E 31 -1 -1
A B 32 -1 -1
B C 32 -1 -1
A B 33 -1 -1
B C 33 -1 -1
E D 34 5 D
D C 34 9 C
C B 34 13 B
B A 34 16 A
E D 35 8 D
E D 36 7 D
D C 36 10 C
C B 36 9 B
E D 37 10 D
E D 38 0 D
D C 38 7 C
E D 39 4 D
D C 39 5 C
B C 4 35 C
E D 40 6 D
D C 40 4 C
E D 41 23 D
D C 41 15 C
C B 41 18 B
E D 42 9 D
D C 42 14 C
E D 43 14 D
D C 43 13 C
B A 43 23 A
E D 44 11 D
C B 44 12 B
E D 45 13 D
E D 48 17 D
E D 49 22 D
A B 5 37 B
B C 5 39 C
E D 50 12 D
D C 50 17 C
E D 51 15 D
D C 51 20 C
D C 53 26 C
B A 53 31 A
E D 54 25 D
B A 54 29 A
E D 55 24 D
C B 55 31 B
E D 57 27 D
D C 57 27 C
E D 58 28 D
D C 58 24 C
C B 58 27 B
A B 6 36 B
B C 6 40 C
C D 6 35 D
E D 60 -1 -1
E D 61 30 D
A B 7 1 B
A B 8 2 B
C D 8 37 D
A B 9 40 B
410
testcase15 327
215 110
0 B 8
0 C 12
0 D 16
1 C 0
1 D 4
10 A 13
10 B 18
10 C 22
10 D 26
11 A 19
11 B 26
11 C 30
11 D 34
12 A 46
12 B 52
12 C 56
12 D 60
13 A 39
13 B 47
13 C 52
13 D 56
14 A 29
14 B 33
14 C 37
14 D 41
15 A 29
15 B 33
15 C 37
15 D 42
16 A 29
16 B 35
16 C 39
16 D 43
17 A 46
17 B 50
17 C 54
17 D 58
18 A 46
18 B 50
18 C 54
18 D 59
19 A 65
19 B 69
19 C 73
19 D 77
2 D 4
20 A 58
20 B 63
20 C 67
20 D 71
21 A 50
21 B 54
21 C 58
21 D 62
22 A 61
22 B 65
22 C 69
22 D 73
23 A 65
23 B 69
23 C 73
23 D 77
24 A 75
24 B 79
24 C 83
24 D 88
25 A 78
25 B 82
25 C 86
25 D 90
26 A 83
26 B 87
26 C 91
26 D 95
27 A 92
27 B 100
27 C 105
27 D 110
28 A 77
28 B 82
28 C 87
28 D 95
29 A 104
29 B 108
29 C 113
29 D 117
3 C 2
3 B 6
30 A 105
30 B 109
30 C 113
30 D 117
31 E 22
31 D 25
31 C 29
31 B 33
32 E 8
32 D 11
32 C 15
32 B 19
33 E 8
33 D 11
33 C 15
33 B 19
34 E 8
34 D 11
34 C 15
34 B 19
35 E 20
35 D 24
35 C 28
35 B 32
36 E 37
36 D 41
36 C 47
36 B 51
37 E 29
37 D 32
37 C 37
37 B 41
38 E 44
38 D 48
38 C 52
38 B 56
39 E 46
39 D 50
39 C 54
39 B 58
4 C 4
4 B 10
40 E 41
40 D 45
40 C 51
40 B 55
41 E 37
41 D 41
41 C 46
41 B 50
42 E 69
42 D 72
42 C 76
42 B 80
43 E 54
43 D 60
43 C 65
43 B 69
44 E 62
44 D 65
44 C 69
44 B 73
45 E 72
45 D 75
45 C 79
45 B 83
46 E 54
46 D 59
46 C 64
46 B 68
47 E 66
